title,subtitle,meaning,measurement,title_upper
Concern about Generative AI,How concerned are people about artificial intelligence?,"Concern about artificial intelligence (Generative AI) is measured to evaluate how preoccupied people are about the threat of artificial intelligence-generated content to Canadian democracy. People can create images and video content of any kind using generative AI tools, including content featuring politicians or other public figures. These deepfakes often look real unless they are closely inspected, and can lead people to believe things about politicians that are not actually true but shape their political opinions nonetheless. ","We measure concern about AI by evaluating the extent Canadians think AI-generated content misleading the public is a problem. We ask survey respondents: How concerned are you about AI-generated content misleading the public? The given choices are: Not a problem, A minor problem, A moderate problem, A serious problem, and A very serious problem. We then calculate and report the weighted average of respondents who report a serious problem or a very serious problem. ",CONCERN ABOUT GENERATIVE AI
Concern about misinformation,How concerned are people about misinformation?,"Concern about misinformation refers to how concerned Canadians are about misinformation, particularly as it affects democracy. Level of concern helps us gauge the capacity of the CIE to manage misinformation if Canadians are highly concerned about misinformation, then they may be more likely to carefully review sources of information and look out for coordinated disinformation campaigns. While this measure does not capture the scale and nature of misinformation, it also allows us to evaluate the perceived problem of misinformation in Canada. Concern about misinformation may not always be a good thing, particularly in large doses. If Canadians are increasingly paranoid about the circulation of misinformation online, then they may begin to distrust otherwise reliable sources like reputable news organizations or accuse true information of being false. ","We measure how concerned people are about misinformation by assessing the extent to which people think online misinformation is a problem. We ask survey respondents: How concerned are you about online misinformation? The given choices are: Not a problem, A minor problem, A moderate problem, A serious problem, and A very serious problem. We calculate and report the weighted average of respondents who report a serious problem or a very serious problem.",CONCERN ABOUT MISINFORMATION
Concern about foreign influence,How concerned are people about foreign influence?,"Concern about foreign influence refers to the extent Canadians are concerned about foreign governments influencing Canadian media and politics. We measure concern to be able to track if concern rises or drops over time, and inform national discussion about foreign influence and interference. ","We measure how concerned Canadians are about foreign influence by measuring the extent people think foreign governments influencing Canadian media and politics are a problem. We ask survey respondents: How concerned are you about foreign governments influencing Canadian media and politics? The given choices are: Not a problem, A minor problem, A moderate problem, A serious problem, and A very serious problem. We calculate and report the weighted average of respondents who report a serious problem or a very serious problem. We also measure how concerned Canadians are about foreign influence by specific countries. We ask survey respondents: Which country or countries do you think try to influence Canadian politics and elections through covert, deceptive, and sometimes threatening means? The given choices are: China, India, Russia, the United States of America, and the United Kingdom. We calculate and report the weighted average of respondents who select each country in response to this question.",CONCERN ABOUT FOREIGN INFLUENCE
Directed foreign influence,To what extent are overt foreign influencers impacting the CIE?,"Directed foreign influence measures how connected prominent foreign accounts are to the CIE. We specifically focus on India, Russia, and China, as these countries are often invoked in conversations about foreign interference in Canada. Rather than interference, we focus our lens on foreign influence. We assess how close are foreign accounts to Canadian accounts regarding the content they share. We can understand these accounts to be in close proximity to the CIE if they frequently post similar links or discuss certain topics at the same time and in the same way. This measure, therefore, does not describe if or how foreign governments are influencing Canadian perception. It mostly just points out the overlapping parts of our digital information ecosystems. However, in the case that a foreign government does interfere in a Canadian election, we will hopefully be able to identify the campaign, inform the public, and defend Canadian electoral integrity by regularly analyzing the connection of accounts from potential adversaries to the CIE.","We measure directed foreign influence by evaluating the proximity of prominent foreign accounts to the CIE. We track a core set of accounts associated with foreign entities (India, Russia, China) with a record of influencing Canadian politics, then integrate those accounts into the web linking, hashtag, mentions, and textual similarity network model. We then compute the percentage of all connections between Canadian and these foreign entities. A higher percentage is indicative of common posting behaviour between Canadian entities and foreign ones.",DIRECTED FOREIGN INFLUENCE
News seeking,How many Canadians seek out information about the news?,News seeking refers to the extent to which Canadians seek out information about the news.  A high value (100) implies a larger appetite for news (constantly seeking out) while a lower value (0) implies more news avoidance.,"We measure news seeking by evaluating the extent people are seeking out news. We ask survey respondents: Whenever you are online, do you find yourself trying to avoid the news as much as possible or more interested in seeking it out? The given choices are: Constantly avoiding, Often avoiding, Occasionally avoiding, I don't try to avoid it but I don't seek it out either, Occasionally seeking out, Often seeking out, and Constantly seeking out. We calculate and report the weighted average of respondents who report Occasionally seeking out, Often seeking out, or Constantly seeking out.",NEWS SEEKING
News sharing,How much do Canadians actively engage in posting and sharing news on social media?,"News sharing refers to the extent to which Canadians share news stories about politics and/or share their own political views. A high value (100) implies sharing is frequent (multiple times a day/week), while a low value (0) implies a low frequency of sharing news stories or political views.","We measure news sharing by evaluating the frequency with which people have shared news stories about politics or posted their own political views. We ask two survey questions: (1) During the past month, how often have you shared a news story about politics on social media? The given choices are: Never, Once or twice this month, Several times this month, Once or twice a week, Several times a week, Once or twice a day, and Several times a day. (2) In the past month, how often have you posted your own political views on social media? The given choices are: Never, Once or twice this month, Several times this month, Once or twice a week, Several times a week, Once or twice a day, and Several times a day. We calculate and report the weighted average of respondents who report Once or twice a week or more. We then average those values to derive percentages.",NEWS SHARING
Mediums of weekly news,How many people use each medium weekly for news?,"Mediums of weekly news refer to the extent to which Canadians consume news from different mediums (digital, print, radio and television). For each medium, a high value (100) implies more frequent use while a low value implies less frequent to no usage. ","We measure mediums of weekly news by evaluating the extent people get news from: television, radio, print, publications and digital sources. Specifically, we ask survey respondents:

How often do you get news from…
[Television/Radio/Print publications/Digital sources]

Never 
Once or twice this month 
Several times this month 
Once or twice a week 
Several times a week 
Once or twice a day 
Several times a day

We calculate and report the weighted average of respondents that report ‘Once or twice a week’ or more.",MEDIUMS OF WEEKLY NEWS
Sources of weekly news,How many people use each source for weekly news?,"Sources of weekly news refer to the extent to which Canadians consume news from local, national and international sources. For each news source, a high value (100) implies more frequent use while a low value implies less frequent to no usage. ","We measure sources of weekly news by evaluating the extent people use local, national and international news sources for the purpose of reading, watching or listening to politics and current affairs.  Specifically, we ask survey respondents:

When you use [National news/International news/Local news], how often do you read, watch, or listen to politics and current affairs content, specifically? 
Never 
Once or twice this month 
Several times this month 
Once or twice a week 
Several times a week 
Once or twice a day 
Several times a day

We calculate and report the weighted average of respondents that report their frequency to be between 'several times a day' to 'once or twice a week.'",SOURCES OF WEEKLY NEWS
Social media for news,How many people use social media weekly for news?,"Social media use for news refer to the extent to which Canadians consume news via social media. For each social media platform, a high value (100) implies a high frequency of consumption while a low value (0) means low weekly consumption.","We measure social media use for news by evaluating the extent people consume political and current affairs content on social media. Specifically, we ask survey respondents:

When you use social media websites, how often do you read, watch, or listen to politics and current affairs content, specifically? 
Never 
Once or twice this month 
Several times this month 
Once or twice a week 
Several times a week 
Once or twice a day 
Several times a day

We calculate and report the weighted average of respondents that report ‘Once or twice a week’ or more when asked this question.
",SOCIAL MEDIA FOR NEWS
Top 5 news outlets,What are the top 5 Canadian news outlets? What is their share of total engagement?,Top 5 Canadian news outlets refer to the percentage of Canadian news engagement received by only the 5 most popular outlets. We evaluate this measure to identify where Canadians seek their online news content. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.,"We measure the Top 5 Canadian news outlets by identifying the five outlets that received the highest amount of engagement (as measured by the total number of likes, comments, and shares on their posts), combining the engagement on all their posts over the time-period examined, and then dividing their engagement by the total amount of engagement received by Canadian news outlets online and multiplying by 100. ",TOP 5 NEWS OUTLETS
Local vs National news engagement,How skewed is preference for national versus local news?,National versus local news engagement refers to the percentage of all engagement with news outlet accounts that are local versus national level. We evaluate this measure to identify where Canadians seek their online news content. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.,We measure national versus local news engagement by categorizing all the accounts of Canadian news outlets in our dataset as either “national” or “local” level outlets. We do so to be able to compare trends among the two levels. We calculate the relative local news engagement by dividing the total amount of engagement generated by local news accounts across our platforms by the total amount of engagement generated by all news accounts.,LOCAL VS NATIONAL NEWS ENGAGEMENT
Top social media platforms - news outlets,How skewed is preference for national versus local news?,Top social media platforms for news outlets refers to the percentage of all engagement with news outlet accounts on each social media platform. We evaluate this measure to identify where Canadians seek their online news content. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.,"We calculate top social media platforms by summing the total number of likes on posts by Canadian news outlets per platform, and reporting the platform with the most likes. We also calculate the relative engagement generated by each platform by dividing the number of likes per platform by the total number of likes across all platforms. We report relative engagement as a percentage of engagement with news generated on each platform. 
",TOP SOCIAL MEDIA PLATFORMS - NEWS OUTLETS
Top social media platforms - politicians,Which social media platforms are most popular for Canadian politicians?,Top social media platforms for engagement with politicians refers to the percentage of all engagement with political accounts on each social media platform. We evaluate this measure to identify where Canadians seek their online news content. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.,"We calculate the top social media platforms for engagement with politicians by adding up the total number of likes on posts by Canadian politicians across our platforms for the whole month, then identifying which platform generated the most likes. We then report the percentage of all engagement received by Canadian politicians on the most popular platform to provide a sense of scale of how dominant that platform is in facilitating digital connection with politicians. This is calculated by totalling all the likes received by all Canadian politicians on the most popular platform, dividing it by the total number of likes received by all Canadian politicians on all our platforms of interest, then multiplying by 100.

",TOP SOCIAL MEDIA PLATFORMS - POLITICIANS
Engagement with Politicians vs News,How skewed is preference for politician versus news content?,"Engagement with politicians versus news refers to the percentage of engagement generated by Canadian politicians relative to news outlets. We evaluate this measure to gain an idea of how prominent politicians are in the CIE. A higher percentage for politicians implies that politicians receive more engagement than news, versus a higher percentage for news implies that news received more engagement than politicians.",We calculate engagement with politicians versus news outlets as a percentage by dividing the total number of likes received by Canadian politicians by the total number of likes received by both news outlets and politicians.,ENGAGEMENT WITH POLITICIANS VS NEWS
Engagement with party leaders,Which party leaders are most engaging with Canadians?,"Engagement with party leaders refers to the percentage of engagement Canadian political party leaders receive, specifically leaders of Canadian federal political parties which currently hold seats in the House of Commons. We evaluate this measure so that we can gauge and compare engagement with each leader. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.","We calculate engagement with political party leaders by summing the total amount of likes each leader receives on their posts across our platforms of interest, then representing these likes as a percentage of all likes received by all party leaders.",ENGAGEMENT WITH PARTY LEADERS
Engagement with elected party members,Which elected party members are most engaging with Canadians?,"Engagement with elected party members refers to the percentage of engagement each Canadian political party 'family' (Liberal, NDP, Conservative, Bloc Quebecois, Green) receives. We evaluate this measure so that we can gauge and compare engagement with each Canadian political party. A higher percentage reflects more engagement and a lower percentage reflects lower engagement.

","We calculate engagement with elected party members by summing the total amount of engagement received by each party’s politicians, on both the federal and provincial level, and then dividing that sum by the total amount of engagement received by Canadian politicians who are not party leaders. We report the percentage of all non-leader Canadian politician engagement received by each party.
",ENGAGEMENT WITH ELECTED PARTY MEMBERS
